iter	Passed	Remaining
403	11213	44297
404	11241	44273
405	11269	44246
406	11297	44220
407	11326	44196
408	11354	44168
409	11382	44143
410	11409	44112
411	11440	44095
412	11467	44066
413	11497	44044
414	11526	44021
415	11554	43995
416	11582	43970
417	11611	43946
418	11639	43917
419	11668	43895
420	11695	43866
421	11725	43846
422	11755	43827
423	11788	43818
424	11819	43799
425	11847	43775
426	11876	43751
427	11904	43722
428	11930	43688
429	11956	43656
430	11985	43632
431	12013	43603
432	12039	43571
433	12067	43543
434	12092	43506
435	12120	43477
436	12147	43446
437	12174	43415
438	12204	43395
439	12230	43362
440	12256	43329
441	12285	43304
442	12310	43267
443	12335	43230
444	12361	43196
445	12387	43163
446	12416	43137
447	12439	43095
448	12467	43067
449	12493	43032
450	12517	42993
451	12544	42962
452	12570	42927
453	12599	42904
454	12626	42874
455	12653	42845
456	12682	42819
457	12710	42792
458	12737	42763
459	12762	42725
460	12787	42689
461	12816	42666
462	12844	42637
463	12869	42600
464	12896	42573
465	12925	42547
466	12952	42519
467	12982	42497
468	13007	42460
469	13033	42428
470	13059	42394
471	13086	42364
472	13114	42337
473	13141	42306
474	13170	42284
475	13198	42256
476	13226	42229
477	13250	42190
478	13278	42163
479	13303	42126
480	13329	42094
481	13352	42052
482	13377	42017
483	13408	41998
484	13434	41964
485	13462	41937
486	13487	41902
487	13516	41880
488	13543	41850
489	13570	41819
490	13598	41792
491	13623	41757
492	13648	41719
493	13675	41691
494	13700	41655
495	13729	41631
496	13758	41607
497	13784	41575
498	13811	41545
499	13839	41518
500	13866	41487
501	13895	41465
502	13922	41434
503	13949	41407
504	13978	41380
505	14004	41348
506	14031	41320
507	14062	41301
508	14091	41279
509	14117	41244
510	14144	41214
511	14170	41184
512	14197	41154
513	14224	41125
514	14251	41094
515	14279	41068
516	14305	41034
517	14330	40998
518	14357	40970
519	14384	40940
520	14410	40908
521	14439	40883
522	14464	40848
523	14491	40820
524	14518	40790
525	14545	40761
526	14569	40721
527	14596	40693
528	14622	40660
529	14649	40632
530	14675	40598
531	14703	40571
532	14730	40543
533	14756	40511
534	14784	40484
535	14811	40454
536	14838	40425
537	14863	40390
538	14892	40366
539	14920	40340
540	14944	40302
541	14970	40272
542	14996	40239
543	15024	40213
544	15051	40183
545	15078	40153
546	15106	40127
547	15132	40094
548	15158	40064
549	15187	40040
550	15215	40014
551	15243	39987
552	15273	39966
553	15303	39943
554	15332	39920
555	15361	39895
556	15388	39867
557	15414	39834
558	15440	39803
559	15468	39775
560	15492	39739
561	15519	39708
562	15543	39673
563	15570	39644
564	15594	39607
565	15621	39578
566	15648	39549
567	15674	39518
568	15702	39491
569	15728	39460
570	15753	39424
571	15782	39400
572	15809	39371
573	15836	39344
574	15864	39315
575	15890	39285
576	15920	39262
577	15946	39232
578	15973	39202
579	15999	39170
580	16023	39135
581	16051	39107
582	16075	39072
583	16102	39043
584	16128	39012
585	16156	38984
586	16182	38953
587	16207	38919
588	16235	38894
589	16263	38866
590	16288	38832
591	16314	38803
592	16340	38771
593	16368	38744
594	16394	38712
595	16421	38684
